cyan,yellow,magenta
0.0,0.2748321148726866,0.0
0.01940217627910862,0.6065739490467951,0.4629284100796558
0.02201410654699093,0.7485695905965106,0.4704236056402378
0.013394243225270941,0.5964381456270375,0.36653364998072213
0.010318399272214673,0.5742762489295781,0.5048478092439368
0.005597296934528817,0.520751283151635,0.9271793615548571
0.009736636214437544,0.6599724910544909,1.0
0.007626601682999223,1.0,0.7447774095925179
0.007266487047998094,0.9915298736847236,0.5431326687211999
0.008138638196955705,0.8518437985974499,0.44083803328367677
0.01367603727636979,0.6840001803562129,0.6833640496551141
0.014200042919842948,0.6379045767287324,0.6451401511837385
0.020917793696381803,0.6358285562418524,0.5410159745979453
0.023201877303102303,0.6674098962203495,0.5602378926202862
0.027949244151048103,0.6002130258805591,0.6049470596072646
0.03514906196329082,0.647305770127677,0.5692823437625849
0.04738874698255846,0.7713522238258104,0.5660549675684052
0.057869461538964884,0.8068045641642654,0.6324746584387908
0.0718295373753926,0.781469718744583,0.6166650334242776
0.08716176194357711,0.7310602227125935,0.5797541220489957
0.09774082783144017,0.7129521012371494,0.5220491952307507
0.10449292762007084,0.7755428511757224,0.5024693529163715
0.11130309527166093,0.7673742068349859,0.5441886751202731
0.12675965338732542,0.7347671875273571,0.5585694861206683
0.15917188023623596,0.7942328053878631,0.6057014912752097
0.21564937250473887,0.837272927088786,0.6322109646978715
0.31221515399629146,0.8562505893807162,0.659251822162471
0.45440103590197706,0.8771126567822813,0.765318195289628
0.6496298413150587,0.8735467917583402,0.810946809597817
0.8809707091631669,0.9302025508020657,0.784337344803937
1.0,0.9341190399269204,0.86581415001507
0.860466084237014,0.9333503095832261,0.8043836279037038
0.6226123993674699,0.8254286994754108,0.7820164958714395
0.43691268033598724,0.7179659334791231,0.7401559052090712
0.3156664003111013,0.6654090169773033,0.6181255197284394
0.23493900440062926,0.7151032476369953,0.5271338051849084
0.18400391941736888,0.7585722071421892,0.4805874536076087
0.149414205231729,0.7805626238697199,0.5418317135504882
0.12425574539171796,0.8238890393938054,0.6786173716819641
0.10808979153527143,0.8563760311169204,0.7761002110223572
0.0941937175920578,0.8287764784564166,0.7298873403019128
0.08390329832405141,0.7106286363028192,0.6022511808206201
0.07540808178513708,0.6137457754047111,0.5663653982314882
0.06848863576611414,0.5941528624620351,0.6085760732959586
0.061114819192479186,0.5857748306494852,0.7031918376791018
0.05701811153072167,0.5813033848958967,0.609498299018481
0.05270954465590333,0.6360939691738973,0.5433745578167095
0.04514706547418329,0.6984368111460603,0.6964692263851124
0.03930242229179903,0.7515233724746664,0.8399078429045659
0.03388904313120317,0.7340273910945636,0.780540102076366
0.030461883468032636,0.49177083171432834,0.6088959932794242
0.02797965629223964,0.3463234739676031,0.7330796046872856
0.022597349917892195,0.300598425751771,0.551687777286888
0.018384598072309855,0.5578069088823914,0.6681381164267479
0.01698795005291348,0.676009191705106,0.6422485014771948
0.007601476425344034,0.6835172785659293,0.458993882524539
0.006665197955202984,0.4699650339000778,0.6335449876157699
0.010691355939873581,0.6266948139203222,0.7173607506887933
0.014679566215092588,0.2942871855922066,0.4628362690575034
0.02916895331354541,0.5815822472504402,0.25431637001229124
0.022303384403328463,0.5461607129403688,0.5139920113733796
0.021832768189286866,0.24411175565469234,0.48510341797121637
0.017732300835489156,0.05121782194311203,0.3401790935515743
0.015926318824069252,0.14128820312816076,0.9542577015993929
0.017147577151463866,0.0,0.7240735418802391
